i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.7365,-0.1635,-0.9,-0.2865,0.818,-0.532,0.5655,0.6365,0.652,0.4375,0.458,0.417,-0.087,-0.663,-0.063
0.7205,-0.1655,-0.886,-0.2775,0.803,-0.5255,0.5625,0.637,0.654,0.4395,0.4585,0.419,-0.0865,-0.658,-0.0605
0.697,-0.174,-0.8715,-0.2615,0.7845,-0.523,0.562,0.633,0.652,0.4385,0.459,0.418,-0.0875,-0.656,-0.065
0.694,-0.1695,-0.864,-0.262,0.779,-0.517,0.562,0.6345,0.652,0.4385,0.4605,0.4195,-0.087,-0.6535,-0.0645
0.6975,-0.1615,-0.859,-0.268,0.7785,-0.5105,0.5665,0.6355,0.6525,0.4405,0.463,0.4215,-0.0885,-0.6545,-0.0625
0.712,-0.1545,-0.8665,-0.279,0.7895,-0.5105,0.571,0.64,0.6555,0.4435,0.466,0.4235,-0.089,-0.6575,-0.065
0.714,-0.159,-0.873,-0.2775,0.7935,-0.516,0.567,0.6395,0.657,0.444,0.4665,0.4255,-0.0875,-0.6595,-0.062
0.695,-0.1575,-0.8525,-0.2685,0.7735,-0.505,0.5715,0.6465,0.667,0.4555,0.476,0.434,-0.0855,-0.661,-0.061
0.7035,-0.1525,-0.856,-0.2755,0.78,-0.504,0.565,0.6405,0.6625,0.452,0.472,0.429,-0.0825,-0.654,-0.061
0.719,-0.154,-0.873,-0.2825,0.796,-0.5135,0.555,0.6285,0.652,0.442,0.462,0.419,-0.0815,-0.651,-0.058
0.713,-0.1585,-0.872,-0.2775,0.7925,-0.5155,0.5605,0.634,0.656,0.4465,0.466,0.424,-0.083,-0.653,-0.0605
0.7265,-0.162,-0.889,-0.2825,0.8075,-0.5255,0.5605,0.6325,0.655,0.4445,0.4655,0.4255,-0.0815,-0.654,-0.062
0.748,-0.1635,-0.9115,-0.2925,0.83,-0.5375,0.5595,0.6325,0.6575,0.4455,0.4665,0.428,-0.0775,-0.66,-0.06
0.748,-0.1605,-0.9085,-0.2935,0.8285,-0.5345,0.5605,0.6355,0.6625,0.451,0.471,0.4325,-0.075,-0.657,-0.0585
0.7425,-0.1505,-0.893,-0.296,0.8175,-0.5215,0.557,0.632,0.661,0.451,0.47,0.4335,-0.072,-0.6475,-0.059
0.726,-0.1455,-0.8715,-0.2905,0.799,-0.5085,0.554,0.632,0.661,0.4515,0.472,0.4345,-0.0695,-0.6415,-0.06
0.7205,-0.1465,-0.867,-0.287,0.794,-0.507,0.554,0.6305,0.6605,0.4505,0.4725,0.436,-0.0675,-0.64,-0.0585
0.741,-0.1585,-0.8995,-0.291,0.82,-0.529,0.5435,0.6185,0.6495,0.441,0.4635,0.4275,-0.066,-0.644,-0.0575
0.762,-0.164,-0.926,-0.299,0.844,-0.545,0.5395,0.619,0.647,0.4395,0.463,0.4255,-0.0655,-0.649,-0.057
0.7775,-0.149,-0.927,-0.314,0.852,-0.538,0.541,0.623,0.652,0.4435,0.4675,0.431,-0.063,-0.6465,-0.0555
0.7705,-0.138,-0.9085,-0.316,0.8395,-0.523,0.5355,0.6205,0.649,0.443,0.4675,0.431,-0.0605,-0.6365,-0.056
0.755,-0.1405,-0.8955,-0.307,0.825,-0.518,0.535,0.618,0.6485,0.442,0.468,0.432,-0.0605,-0.637,-0.057
0.7395,-0.1425,-0.882,-0.2985,0.811,-0.5125,0.5395,0.6205,0.6515,0.445,0.4715,0.435,-0.062,-0.64,-0.0565
0.7385,-0.1385,-0.877,-0.3,0.808,-0.5075,0.5445,0.627,0.6545,0.4495,0.4755,0.44,-0.0645,-0.642,-0.0585
