Wavelet,Classifier,Parameters,Accuracy (%)
db1,SVM,RBF C=10,97.18
db1,KNN,k=3,94.37
db1,KNN,k=7,94.37
db1,SVM,RBF C=1,92.96
db1,KNN,k=5,91.55
db1,RandomForest,n=50,91.55
db1,RandomForest,n=100,91.55
db1,RandomForest,n=200,91.55
db1,SVM,Poly d=3,78.87
db2,SVM,RBF C=10,98.59
db2,RandomForest,n=50,97.18
db2,RandomForest,n=100,97.18
db2,RandomForest,n=200,97.18
db2,KNN,k=3,95.77
db2,KNN,k=5,95.77
db2,SVM,RBF C=1,94.37
db2,KNN,k=7,94.37
db2,SVM,Poly d=3,63.38
db4,SVM,RBF C=10,95.77
db4,RandomForest,n=200,95.77
db4,RandomForest,n=50,94.37
db4,RandomForest,n=100,94.37
db4,SVM,RBF C=1,92.96
db4,KNN,k=3,91.55
db4,KNN,k=5,91.55
db4,KNN,k=7,91.55
db4,SVM,Poly d=3,64.79
